M,K,clue_fraction,iterations,exact_acc
200,400,0.1,8,0
200,400,0.1,8,0
200,400,0.1,5,0
200,400,0.1,6,0
200,400,0.1,21,0
200,400,0.1,16,0
200,400,0.1,9,0
200,400,0.1,12,0
200,400,0.1,9,0
200,400,0.1,5,0
200,400,0.1,7,0
200,400,0.1,13,0
200,400,0.1,4,0
200,400,0.1,7,0
200,400,0.1,20,0
200,400,0.1,6,0
200,400,0.1,9,0
200,400,0.1,10,0
200,400,0.1,5,0
200,400,0.1,8,0
200,400,0.1,9,0
200,400,0.1,6,0
200,400,0.1,21,0
200,400,0.1,17,0
200,400,0.1,9,0
200,400,0.1,9,0
200,400,0.1,5,0
200,400,0.1,26,0
200,400,0.1,6,0
200,400,0.1,19,0
200,400,0.1,6,0
200,400,0.1,5,0
200,400,0.1,10,0
200,400,0.1,36,0
200,400,0.1,12,0
200,400,0.1,10,0
200,400,0.1,9,0
200,400,0.1,9,0
200,400,0.1,8,0
200,400,0.1,13,0
200,400,0.1,18,0
200,400,0.1,16,0
200,400,0.1,8,0
200,400,0.1,12,0
200,400,0.1,4,0
200,400,0.1,7,0
200,400,0.1,12,0
200,400,0.1,11,0
200,400,0.15,5,0
200,400,0.15,20,0
200,400,0.15,7,0
200,400,0.15,10,0
200,400,0.15,10,0
200,400,0.15,9,0
200,400,0.15,8,0
200,400,0.15,14,0
200,400,0.15,13,0
200,400,0.15,17,0
200,400,0.15,5,0
200,400,0.15,7,0
200,400,0.15,5,0
200,400,0.15,14,0
200,400,0.15,15,0
200,400,0.15,8,0
200,400,0.15,17,0
200,400,0.15,5,0
200,400,0.15,9,0
200,400,0.15,14,0
200,400,0.15,4,0
200,400,0.15,22,0
200,400,0.15,7,0
200,400,0.15,5,0
200,400,0.15,9,0
200,400,0.15,18,0
200,400,0.15,11,0
200,400,0.15,7,0
200,400,0.15,20,1
200,400,0.15,10,0
200,400,0.15,7,0
200,400,0.15,8,0
200,400,0.15,11,0
200,400,0.15,9,0
200,400,0.15,9,0
200,400,0.15,9,0
200,400,0.15,40,0
200,400,0.15,22,0
200,400,0.15,10,0
200,400,0.15,6,0
200,400,0.15,7,0
200,400,0.15,8,0
200,400,0.15,6,0
200,400,0.15,4,0
200,400,0.15,7,0
200,400,0.15,8,0
200,400,0.15,18,0
200,400,0.15,28,0
200,400,0.15,9,0
200,400,0.15,3,0
200,400,0.15,15,0
200,400,0.15,9,0
200,400,0.15,10,0
200,400,0.15,41,0
200,400,0.15,17,0
200,400,0.15,6,0
200,400,0.15,18,0
200,400,0.15,10,0
200,400,0.15,8,0
200,400,0.15,10,0
200,400,0.15,14,0
200,400,0.15,17,0
200,400,0.15,11,0
200,400,0.15,15,0
200,400,0.15,26,0
200,400,0.15,9,0
200,400,0.15,8,0
200,400,0.15,13,0
200,400,0.15,10,0
200,400,0.15,8,0
200,400,0.15,13,0
200,400,0.15,4,0
200,400,0.15,5,0
200,400,0.15,10,0
200,400,0.15,11,0
200,400,0.15,7,0
200,400,0.15,6,0
200,400,0.15,3,0
200,400,0.15,9,0
200,400,0.15,5,0
200,400,0.15,7,0
200,400,0.15,4,0
200,400,0.15,5,0
200,400,0.15,9,0
200,400,0.15,7,0
200,400,0.15,10,0
200,400,0.15,15,0
200,400,0.15,24,0
200,400,0.15,6,0
200,400,0.15,19,0
200,400,0.15,7,0
200,400,0.15,18,0
200,400,0.15,12,0
200,400,0.15,23,0
200,400,0.15,19,0
200,400,0.15,12,0
200,400,0.15,5,0
200,400,0.15,14,0
200,400,0.15,10,0
200,400,0.15,9,0
200,400,0.2,21,0
200,400,0.2,20,0
200,400,0.2,6,0
200,400,0.2,6,0
200,400,0.2,15,0
200,400,0.2,3,1
200,400,0.2,10,0
200,400,0.2,12,0
200,400,0.2,3,1
200,400,0.2,6,0
200,400,0.2,12,0
200,400,0.2,3,1
200,400,0.2,6,0
200,400,0.2,19,0
200,400,0.2,11,0
200,400,0.2,8,0
200,400,0.2,11,0
200,400,0.2,17,0
200,400,0.2,11,0
200,400,0.2,8,0
200,400,0.2,7,0
200,400,0.2,26,0
200,400,0.2,8,0
200,400,0.2,5,0
200,400,0.2,9,0
200,400,0.2,16,0
200,400,0.2,36,0
200,400,0.2,8,0
200,400,0.2,4,0
200,400,0.2,4,0
200,400,0.2,22,0
200,400,0.2,3,1
200,400,0.2,8,0
200,400,0.2,17,0
200,400,0.2,11,0
200,400,0.2,23,0
200,400,0.2,7,0
200,400,0.2,8,0
200,400,0.2,8,0
200,400,0.2,9,0
200,400,0.2,6,0
200,400,0.2,5,0
200,400,0.2,18,0
200,400,0.2,13,0
200,400,0.2,4,0
200,400,0.2,8,0
200,400,0.2,3,0
200,400,0.2,4,0
200,400,0.2,8,0
200,400,0.2,12,0
200,400,0.2,36,0
200,400,0.2,13,0
200,400,0.2,8,0
200,400,0.2,5,0
200,400,0.2,8,0
200,400,0.2,7,0
200,400,0.2,6,0
200,400,0.2,14,0
200,400,0.2,5,1
200,400,0.2,7,0
200,400,0.2,4,0
200,400,0.2,10,0
200,400,0.2,11,0
200,400,0.2,10,0
200,400,0.2,13,0
200,400,0.2,8,0
200,400,0.2,6,0
200,400,0.2,13,0
200,400,0.2,6,0
200,400,0.2,4,1
200,400,0.2,8,0
200,400,0.2,16,0
200,400,0.2,7,0
200,400,0.2,6,0
200,400,0.2,31,0
200,400,0.2,12,0
200,400,0.2,10,0
200,400,0.2,18,0
200,400,0.2,3,0
200,400,0.2,20,0
200,400,0.2,11,0
200,400,0.2,14,0
200,400,0.2,18,0
200,400,0.2,6,0
200,400,0.2,14,1
200,400,0.2,23,0
200,400,0.2,8,0
200,400,0.2,23,0
200,400,0.2,11,0
200,400,0.2,6,0
200,400,0.2,4,0
200,400,0.2,3,1
200,400,0.2,13,0
200,400,0.2,18,0
200,400,0.2,14,0
200,400,0.2,6,0
200,400,0.2,13,0
200,400,0.2,7,0
200,400,0.2,6,0
200,400,0.2,13,0
200,400,0.25,3,1
200,400,0.25,3,1
200,400,0.25,3,1
200,400,0.25,14,0
200,400,0.25,9,0
200,400,0.25,5,0
200,400,0.25,9,0
200,400,0.25,9,0
200,400,0.25,20,0
200,400,0.25,3,1
200,400,0.25,4,1
200,400,0.25,10,0
200,400,0.25,13,0
200,400,0.25,16,0
200,400,0.25,12,0
200,400,0.25,6,0
200,400,0.25,4,1
200,400,0.25,8,0
200,400,0.25,5,0
200,400,0.25,18,0
200,400,0.25,9,0
200,400,0.25,7,0
200,400,0.25,3,1
200,400,0.25,6,0
200,400,0.25,13,0
200,400,0.25,22,0
200,400,0.25,3,1
200,400,0.25,5,0
200,400,0.25,5,0
200,400,0.25,3,1
200,400,0.25,14,0
200,400,0.25,21,0
200,400,0.25,3,1
200,400,0.25,6,0
200,400,0.25,13,0
200,400,0.25,8,0
200,400,0.25,14,0
200,400,0.25,3,1
200,400,0.25,41,0
200,400,0.25,4,1
200,400,0.25,3,1
200,400,0.25,7,0
200,400,0.25,11,0
200,400,0.25,8,0
200,400,0.25,8,0
200,400,0.25,30,0
200,400,0.25,15,0
200,400,0.25,3,1
200,400,0.25,4,1
200,400,0.25,6,0
200,400,0.25,10,0
200,400,0.25,13,0
200,400,0.25,8,0
200,400,0.25,9,0
200,400,0.25,7,0
200,400,0.25,4,1
200,400,0.25,17,0
200,400,0.25,23,0
200,400,0.25,11,0
200,400,0.25,8,0
200,400,0.25,5,1
200,400,0.25,4,1
200,400,0.25,5,0
200,400,0.25,7,0
200,400,0.25,4,1
200,400,0.25,5,0
200,400,0.25,13,0
200,400,0.25,4,1
200,400,0.25,8,0
200,400,0.25,27,0
200,400,0.25,41,0
200,400,0.25,11,0
200,400,0.25,11,0
200,400,0.25,3,1
200,400,0.25,20,0
200,400,0.25,5,0
200,400,0.25,6,0
200,400,0.25,8,0
200,400,0.25,11,0
200,400,0.25,3,1
200,400,0.25,7,0
200,400,0.25,4,1
200,400,0.25,10,0
200,400,0.25,3,1
200,400,0.25,21,0
200,400,0.25,31,0
200,400,0.25,4,1
200,400,0.25,11,0
200,400,0.25,22,0
200,400,0.25,35,0
200,400,0.25,17,0
200,400,0.25,17,0
200,400,0.25,3,1
200,400,0.25,4,1
200,400,0.25,4,1
200,400,0.25,6,0
200,400,0.25,5,1
200,400,0.25,3,1
200,400,0.25,36,0
200,400,0.25,19,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,14,0
200,400,0.3,3,1
200,400,0.3,19,0
200,400,0.3,3,1
200,400,0.3,4,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,8,0
200,400,0.3,3,1
200,400,0.3,17,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,4,1
200,400,0.3,8,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,10,0
200,400,0.3,2,1
200,400,0.3,3,1
200,400,0.3,12,0
200,400,0.3,10,0
200,400,0.3,2,1
200,400,0.3,10,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,6,0
200,400,0.3,10,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,7,0
200,400,0.3,3,1
200,400,0.3,9,0
200,400,0.3,3,1
200,400,0.3,5,1
200,400,0.3,13,0
200,400,0.3,11,0
200,400,0.3,14,0
200,400,0.3,13,0
200,400,0.3,2,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,13,0
200,400,0.3,3,1
200,400,0.3,6,0
200,400,0.3,9,0
200,400,0.3,13,0
200,400,0.3,4,1
200,400,0.3,14,0
200,400,0.3,9,0
200,400,0.3,10,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,10,0
200,400,0.3,4,1
200,400,0.3,3,1
200,400,0.3,4,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,5,1
200,400,0.3,3,1
200,400,0.3,15,0
200,400,0.3,7,0
200,400,0.3,3,1
200,400,0.3,9,0
200,400,0.3,3,1
200,400,0.3,4,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,7,0
200,400,0.3,4,1
200,400,0.3,10,0
200,400,0.3,25,0
200,400,0.3,3,1
200,400,0.3,13,0
200,400,0.3,5,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,22,0
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,3,1
200,400,0.3,6,0
200,400,0.3,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,4,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,5,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,10,0
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,6,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,4,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,15,0
200,400,0.35,2,1
200,400,0.35,2,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,3,1
200,400,0.35,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,4,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,4,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,3,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.4,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,3,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.45,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.5,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
200,400,0.55,2,1
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,4,0
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,4,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
2000,400,0.05,6,0
